date,state,area,number_of_monitoring_stations,prominent_pollutants,aqi_value,air_quality_status,unit,note
30-04-2025,Kerala,Kollam,1,PM10,73,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
30-04-2025,Kerala,Thrissur,1,PM10,63,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
30-04-2025,Kerala,Eloor,1,PM2.5,61,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
30-04-2025,Kerala,Thiruvananthapuram,2,"PM2.5,PM10",50,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
29-04-2025,Kerala,Thiruvananthapuram,2,PM10,48,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
29-04-2025,Kerala,Thrissur,1,PM10,62,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
28-04-2025,Kerala,Thiruvananthapuram,2,PM10,52,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
28-04-2025,Kerala,Kannur,1,PM10,59,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
28-04-2025,Kerala,Eloor,1,CO,80,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
27-04-2025,Kerala,Eloor,1,PM2.5,58,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
27-04-2025,Kerala,Kannur,1,PM10,58,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
27-04-2025,Kerala,Thrissur,1,PM10,61,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
27-04-2025,Kerala,Kollam,1,PM10,73,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
27-04-2025,Kerala,Thiruvananthapuram,2,PM10,48,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
26-04-2025,Kerala,Kannur,1,PM10,58,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
